school_mooc,school_ranking
ETS,not school
Delft University of Technology,Delft University of Technology
Indian Institute of Management Bangalore,Indian Institute of Management (IIM) - Bangalore
University of Michigan,University of Michigan
Arizona State University,Arizona State University
Massachusetts Institute of Technology,Massachusetts Institute of Technology (MIT)
The University of Texas at Austin,University of Texas at Austin
National University of Science and Technology MISiS,The National University of Science and Technology MISIS
Institut Mines-T?l?com,NA
University of Queensland,The University of Queensland
"University of California, Berkeley","University of California, Berkeley (UCB)"
Catalyst,not school
Tsinghua University,Tsinghua University
NA,NA
The University of British Columbia,University of British Columbia
Babson College,0
International Monetary Fund,not school
Dartmouth,Dartmouth College
Columbia University,Columbia University
University of Adelaide,The University of Adelaide
University of Pennsylvania,University of Pennsylvania
University System of Maryland,"University of Maryland, College Park+University of Maryland, Baltimore County"
Microsoft,not school
"University of California, San Diego","University of California, San Diego (UCSD)"
Georgia Institute of Technology,Georgia Institute of Technology
Wageningen University,Wageningen University
Harvard University,Harvard University
RWTH Aachen University,RWTH Aachen University
Sorbonne Universit?s,Universit? Paris-Sorbonne (Paris IV)
Curtin University,Curtin University
Universidad Carlos iii de Madrid,Universidad Carlos III de Madrid (UC3M)
Teach For America,not school
Inter-American Development Bank,not school
Purdue University,Purdue University
Chalmers University of Technology,Chalmers University of Technology
World Wide Web Consortium (W3C),not school
Technische Universit?t M?nchen (Technical University of Munich),Technical University of Munich
?cole Polytechnique F?d?rale de Lausanne,Ecole Polytechnique F?d?rale de Lausanne (EPFL)
MandarinX,not school
Linux Foundation,not school
Berklee College of Music,0
Tokyo Institute of Technology,Tokyo Institute of Technology
University of Notre Dame,University of Notre Dame
Universit? catholique de Louvain,Universit? Catholique de Louvain (UCL)
Georgetown University,Georgetown University
McGill University,McGill University
Hong Kong Polytechnic University,The Hong Kong Polytechnic University
Kyoto University,Kyoto University
Indian Institute of Technology Bombay,Indian Institute of Technology Bombay (IITB)
The University of Tokyo,The University of Tokyo
KU Leuven University,KU Leuven
University of Newcastle,"The University of Newcastle, Australia (UON)"
Victoria University of Wellington,Victoria University of Wellington
IEEE,not school
Davidson College,0
Rochester Institute of Technology,0
Cornell University,Cornell University
The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology
IDB ( Inter-American Development Bank ),not school
Galileo University,0
Boston University,Boston University
KTH Royal Institute of Technology,KTH Royal Institute of Technology
Queensland University of Technology,Queensland University of Technology (QUT)
University of Texas of the Permian Basin,0
The University of Hong Kong,The University of Hong Kong
Weston High School,High school
Australian National University,The Australian National University
ACCA,not school
The University of Texas at San Antonio,0
University of Texas Arlington,0
Schoolyourself,not school
Wellesley College,0
Rice University,Rice University
Hamilton,0
University of Toronto,University of Toronto
Amnesty International,not school
Harvey Mudd College,0
California Institute of Technology,California Institute of Technology (Caltech)
University of Oxford,University of Oxford
Wesleyan University,0
University of Washington,University of Washington
Princeton University,Princeton University
MongoDB University,not school
Trinity College,"Trinity College Dublin, The University of Dublin"
Smithsonian Institution,not school
Karolinska Institutet,Karolinska Institutet
Tennessee Board of Regents,not school
Fullbridge,not school
ETH Zurich,ETH Zurich - Swiss Federal Institute of Technology
Colgate University,0
Open Education Consortium (OEC),not school
University of Tennessee,"The University of Tennessee, Knoxville"
Bibliotheca Alexandrina,not school
University of Texas Health Science Center at Houston,The University of Texas Health Science Center at Houston
University of Edinburgh,The University of Edinburgh
Imperial College London,Imperial College London
St. Margaret¡¯s Episcopal School,0
TenarisUniversity,0
Cooper Union,not school
Universitat Polit?cnica de Val?ncia,0
New York Institute of Finance,not school
Osaka University,Osaka University
Seoul National University,Seoul National University
Peking University,Peking University
The University of Chicago,University of Chicago
M?xicoX,0
Waseda University,Waseda University
National Research Nuclear University MEPhI,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)
University of the Witwatersrand,University of the Witwatersrand
The Pontificia Universidad Javeriana,Pontificia Universidad Javeriana
Islamic Research and Training Institute,0
Ural Federal University,Ural Federal University
The World Bank,not school
Smith College,Smith College
The University of Warwick,The University of Warwick
GEMS Education,0
The Disque Foundation,0
ITMO University,0
"University of Maryland, College Park","University of Maryland, College Park"
University of Copenhagen,University of Copenhagen
University of New South Wales,The University of New South Wales (UNSW Australia)
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
The University of North Carolina at Chapel Hill,"University of North Carolina, Chapel Hill"
University of Barcelona,University of Barcelona
High Tech High,not school
Johns Hopkins University,Johns Hopkins University
Duke University,Duke University
Yale University,Yale University
State University of New York,"Stony Brook University, State University of New York"
Northwestern University,Northwestern University
University of Colorado Boulder,University of Colorado Boulder
Ohio State University,The Ohio State University
University of New Mexico,University of New Mexico
?cole Centrale Paris,0
McMaster University,McMaster University
Tel Aviv University,Tel Aviv University
IESE Business School,0
University of Alberta,University of Alberta
Politecnico di Milano,Politecnico di Milano
University of Zurich,University of Zurich
The University of Sydney,The University of Sydney
Yonsei University,Yonsei University
ESSEC Business School,ESSEC Business School
University of London International Programmes,"Goldsmiths, University of London"
University of Minnesota,University of Minnesota
IE Business School,0
National University of Singapore,National University of Singapore (NUS)
University of Colorado System,"University of Colorado Boulder+University of Colorado, Denver"
University of Houston System,University of Houston
University of Geneva,University of Geneva
?cole Polytechnique,Ecole Polytechnique
Utrecht University,Utrecht University
"University of California, Irvine","University of California, Irvine"
EIT Digital,0
Stanford University,Stanford University
Higher School of Economics,High school
University of Melbourne,The University of Melbourne
University of Pittsburgh,University of Pittsburgh
"University of California, Santa Cruz","University of California, Santa Cruz"
Relay Graduate School of Education,0
Leiden University,Leiden University
University of Amsterdam,University of Amsterdam
Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai
Hebrew University of Jerusalem,The Hebrew University of Jerusalem
"University of California, Davis","University of California, Davis"
University of Arizona,The University of Arizona
Vanderbilt University,Vanderbilt University
Pennsylvania State University,Pennsylvania State University
University of Florida,University of Florida
Case Western Reserve University,Case Western Reserve University
University of Cape Town,University of Cape Town
Institut d'Etudes Politiques de Paris,0
Indian School of Business,0
Universitat Aut?noma de Barcelona (Autonomous University of Barcelona),Universitat Aut?noma de Barcelona
University of Virginia,University of Virginia
HEC Paris,HEC Paris School of Management
Emory University,Emory University
Ludwig-Maximilians-Universit?t M?nchen,Ludwig-Maximilians-Universit?t M?nchen
Match Teacher Residency,not school
Commonwealth Education Trust,not school
Erasmus University Rotterdam,Erasmus University Rotterdam
The Museum of Modern Art,not school
University of Nebraska,University of Nebraska-Lincoln
Wharton School of the University of Pennsylvania,University of Pennsylvania
New Teacher Center,not school
Copenhagen Business School,Copenhagen Business School
Universit? Bocconi,Bocconi University
"University of California, San Francisco","University of California, San Francisco"
Curtis Institute of Music,0
University of Kentucky,University of Kentucky
University of Manchester,The University of Manchester
Technion - Israel Institute of Technology,Technion - Israel Institute of Technology
American Museum of Natural History,not school
University System of Georgia,The University of Georgia
Technical University of Denmark (DTU),Technical University of Denmark
Korea Advanced Institute of Science and Technology,KAIST - Korea Advanced Institute of Science & Technology
Eindhoven University of Technology,Eindhoven University of Technology
Yad Vashem,0
The Chinese University of Hong Kong,The Chinese University of Hong Kong (CUHK)
West Virginia University,0
Michigan State University,Michigan State University
Sapienza University of Rome,Sapienza University of Rome
Tomsk State University,Tomsk State University
Lund University,Lund University
University of Rochester,University of Rochester
Rutgers University,Rutgers University - New Brunswick
California Institute of the Arts,0
Moscow Institute of Physics and Technology,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech)
?cole normale sup?rieure,"Ecole Normale Sup?rieure de Cachan+Ecole normale sup?rieure, Paris+?cole Normale Sup?rieure de Lyon"
University at Buffalo,University at Buffalo SUNY
EMLYON Business School,EMLYON Business School
PwC,not school
Google,not school
Shanghai Jiao Tong University,Shanghai Jiao Tong University
Macquarie University,Macquarie University
Yeshiva University,Yeshiva University
University of Lausanne,University of Lausanne
George Washington University,George Washington University
Nanjing University,Nanjing University
Exploratorium,not school
?cole des Ponts Paritech,?cole des Ponts ParisTech
Google Cloud,not school
IBM,not school
ESCP Europe,ESCP Europe - Paris
Nanyang Technological University,"Nanyang Technological University, Singapore (NTU)"
Carnegie Mellon University,Carnegie Mellon University
University of Western Australia,The University of Western Australia
University of Wisconsin?Madison,University of Wisconsin-Madison
Brown University,Brown University
Indian Institute of Technology Delhi,Indian Institute of Technology Delhi (IITD)
Tecnol?gico de Monterrey,0
National Geographic Society,not school
Mt. San Jacinto College,0
University of Oregon,University of Oregon
Coursera,not school
