course,date
47046,2016-01-05
188,2015-07-20
83277,2015-11-05
45502,2015-12-14
26582,2016-01-10
70223,2016-01-30
44776,2016-03-16
44777,2016-03-31
44778,2016-04-08
45431,2016-04-10
45401,2016-04-10
50753,2016-04-13
50532,2016-04-13
80158,2016-05-20
89756,2016-06-23
14098,2016-05-22
83015,2016-05-22
48089,2015-10-08
78860,2015-10-08
89710,2015-10-08
12,2015-10-08
418,2015-10-08
167,2015-10-08
93,2015-10-08
3613,2015-10-08
3370,2015-10-08
25295,2015-10-08
390,2015-10-08
227,2015-10-08
98,2015-10-08
92,2015-10-08
28662,2015-10-08
113,2015-10-08
28664,2015-10-08
25392,2015-10-08
68132,2015-10-08
51446,2015-10-08
68121,2015-10-08
34816,2015-10-24
406,2015-10-25
20,2015-11-07
90812,2015-11-14
50363,2015-11-22
80164,2015-11-26
12658,2015-12-03
47718,2015-12-03
49998,2015-12-04
50758,2015-12-10
50361,2015-12-13
50675,2015-12-25
48819,2016-01-03
51335,2016-01-24
51409,2016-02-11
51341,2016-03-06
51320,2016-03-06
47063,2016-03-22
51181,2016-03-22
51480,2016-03-28
50618,2016-03-28
48832,2016-04-27
34593,2016-05-25
51560,2016-06-05
69854,2015-08-06
14123,2015-08-06
45483,2015-08-06
36395,2015-08-08
36392,2015-08-08
34642,2015-11-15
34617,2015-11-15
69939,2015-11-15
48093,2015-11-15
24089,2015-11-15
81151,2015-11-15
19239,2015-11-15
17457,2015-11-15
34834,2015-11-16
34633,2015-11-16
34841,2015-11-16
26687,2015-11-16
24359,2015-11-16
36498,2015-11-20
88626,2015-11-20
36477,2015-11-20
83107,2015-11-20
28052,2015-11-20
32030,2015-11-20
28970,2015-11-20
34816,2015-11-20
45227,2015-11-30
29216,2015-11-30
47113,2015-12-06
69895,2015-12-06
45524,2015-12-07
45191,2015-12-07
34596,2015-12-07
90812,2015-12-15
36320,2015-12-15
14146,2015-12-15
36466,2016-01-08
69985,2016-01-08
3133,2016-01-08
69968,2016-01-08
45467,2016-01-08
45466,2016-01-08
83111,2016-02-14
45486,2016-02-14
48089,2016-02-14
47048,2016-02-14
36403,2016-02-14
45488,2016-02-14
36498,2015-07-27
45466,2015-08-04
47053,2015-09-03
45521,2015-09-03
45447,2015-09-03
45524,2015-09-14
46961,2015-09-24
46930,2015-09-24
46931,2015-09-25
36404,2015-09-28
47053,2015-09-28
78565,2015-09-28
46962,2015-09-28
3131,2015-09-28
45326,2015-09-28
69983,2015-09-28
26686,2015-09-28
28809,2015-10-11
35927,2015-10-11
45499,2015-10-11
45489,2015-10-11
36405,2015-10-11
83882,2015-10-11
92727,2015-12-03
34704,2015-12-20
46933,2015-12-20
48821,2015-12-20
48812,2015-12-20
69868,2015-12-20
27188,2015-12-23
69964,2015-12-28
49805,2015-12-31
50071,2016-02-04
51188,2016-02-04
51341,2016-02-11
48819,2016-02-13
51340,2016-02-20
81878,2016-03-10
69877,2016-03-10
65195,2016-03-10
14133,2016-03-13
46963,2016-03-24
19241,2016-04-01
51362,2016-04-13
80164,2016-04-22
47058,2016-05-05
66273,2016-05-08
68078,2016-05-10
68077,2016-05-10
68079,2016-05-10
34639,2016-05-11
51560,2016-05-17
45486,2016-06-19
65185,2016-06-19
69987,2015-11-10
45509,2016-02-06
45509,2015-12-08
45509,2015-12-07
16,2015-08-21
47113,2015-11-08
50497,2016-02-20
50537,2016-06-10
81876,2016-06-13
46991,2015-11-20
46991,2015-11-21
45510,2016-06-10
83015,2016-06-15
69982,2015-11-21
69982,2015-11-19
69982,2015-11-18
69982,2015-11-16
69982,2015-11-16
69982,2015-11-16
69982,2015-11-16
69982,2015-11-16
69982,2015-11-16
69982,2015-11-16
69982,2015-11-15
69982,2015-11-11
69982,2015-11-11
69982,2015-11-11
34840,2016-05-28
50831,2016-02-15
34840,2016-02-21
50579,2016-02-21
50476,2016-02-21
34840,2015-11-02
45173,2015-11-02
88868,2015-11-11
82602,2016-02-09
82602,2016-02-09
34704,2015-09-21
45524,2015-07-17
36345,2015-07-17
69976,2015-08-01
75654,2015-08-01
45182,2015-08-01
69849,2015-08-01
45226,2015-08-19
81430,2015-08-21
45476,2015-09-02
47052,2015-10-01
70219,2015-12-01
65185,2016-02-01
48828,2016-02-01
80163,2016-03-17
45488,2016-04-21
45464,2016-04-22
65212,2016-05-24
51414,2016-06-06
34642,2015-09-01
34834,2015-09-01
35774,2015-09-01
12,2015-09-01
76,2015-09-01
69895,2015-10-16
34642,2015-08-28
83107,2016-03-24
14103,2016-03-24
27409,2016-03-24
50497,2016-03-24
108,2016-03-24
51316,2016-03-24
16068,2016-03-24
50361,2016-03-24
36466,2016-03-28
34841,2016-03-28
51309,2016-03-28
51311,2016-03-28
51305,2016-03-28
51322,2016-03-28
27204,2016-05-20
45217,2016-06-10
83786,2015-11-25
83786,2015-08-17
47764,2015-10-09
45217,2015-07-05
45217,2015-07-07
83109,2016-05-12
69742,2016-06-01
104,2016-06-01
50759,2016-01-03
51759,2016-02-23
69742,2016-04-06
68081,2016-05-29
69742,2016-02-25
14381,2015-12-10
50882,2015-12-10
50759,2015-12-10
68121,2015-07-22
69882,2015-08-12
28664,2015-08-13
70219,2015-12-10
50659,2015-12-17
50635,2016-01-06
50878,2016-01-06
50862,2016-01-06
50770,2016-01-06
50637,2016-01-06
50408,2016-01-06
50900,2016-01-06
50884,2016-01-06
50309,2016-03-11
50416,2016-04-11
69742,2016-02-04
81876,2016-02-04
14080,2016-02-04
50480,2016-02-04
355,2016-02-04
69742,2015-08-10
12695,2015-08-10
3356,2015-08-10
12661,2015-08-10
16,2015-08-10
112,2015-08-10
69854,2016-02-26
69854,2015-09-02
78569,2016-02-21
69854,2016-02-22
68121,2015-07-08
28664,2015-09-18
42456,2015-10-31
42457,2015-10-31
61,2015-11-15
50036,2016-03-13
50873,2016-03-13
51407,2016-03-13
50888,2016-03-13
50313,2016-03-13
43473,2016-03-26
51759,2016-04-23
50856,2016-05-16
50047,2016-06-19
50584,2016-06-19
50563,2016-06-26
50732,2016-03-24
50563,2016-03-24
50017,2016-03-24
50390,2016-03-24
50911,2016-04-09
50622,2016-04-09
50882,2016-04-09
36404,2016-05-30
50487,2016-06-01
50312,2016-06-24
51729,2016-06-24
51818,2016-06-24
36404,2016-04-05
36404,2016-03-30
36404,2016-03-18
36404,2016-03-17
36404,2016-03-04
36404,2016-03-03
36404,2016-03-03
36404,2016-03-02
36404,2016-03-02
36404,2016-03-02
36404,2016-03-02
36404,2016-03-02
36404,2016-03-02
36404,2016-03-02
36404,2016-03-01
36404,2016-03-01
36404,2016-02-08
50490,2016-02-08
36404,2016-02-01
36404,2016-01-04
36404,2015-12-15
36404,2015-12-31
36404,2015-12-15
36404,2015-12-15
36404,2015-12-15
36404,2015-12-09
36404,2015-12-07
36404,2015-10-06
36404,2015-09-24
69985,2015-09-24
69880,2015-09-26
36404,2015-09-09
36404,2015-09-07
36404,2015-09-06
36404,2015-08-23
82610,2016-03-07
81425,2016-03-27
45452,2016-06-29
47053,2015-08-18
67376,2015-08-18
83882,2015-09-29
66034,2016-04-24
90812,2016-06-29
90812,2015-11-24
90812,2015-11-21
90812,2015-10-30
90812,2015-07-20
90812,2015-09-04
90812,2015-08-27
83109,2015-08-27
90812,2015-07-11
90812,2015-07-10
90812,2015-07-07
90815,2015-12-26
50791,2016-01-10
50337,2016-01-10
50634,2016-01-10
50896,2016-01-10
50360,2016-01-10
50507,2016-02-16
50555,2016-02-27
50792,2016-02-27
36379,2016-01-01
69939,2015-09-25
69939,2015-09-22
69939,2015-09-21
69939,2015-09-25
69939,2015-09-17
90813,2016-05-19
90815,2016-01-17
90815,2016-01-17
90815,2015-12-11
46933,2015-11-22
46933,2015-09-12
46933,2015-09-08
83109,2016-06-21
83109,2016-06-18
83109,2016-06-09
83109,2016-05-25
83109,2016-05-18
83109,2016-05-16
83109,2016-05-13
83109,2016-05-10
83109,2016-05-04
83109,2016-05-03
83109,2016-04-18
83109,2016-04-15
69880,2016-04-15
83109,2016-03-25
83109,2016-03-05
83109,2016-02-23
83109,2016-02-16
83109,2016-02-13
83109,2016-02-12
83109,2016-01-28
83109,2016-01-23
83109,2016-01-06
83109,2016-01-01
83109,2015-12-30
83109,2015-12-25
83109,2015-12-12
70219,2015-12-07
83109,2015-12-12
83108,2015-12-16
83109,2015-11-17
83109,2015-11-12
83109,2015-11-11
83109,2015-10-29
83109,2015-10-24
83109,2015-10-23
83109,2015-10-18
83109,2015-10-10
83109,2015-10-05
83109,2015-10-05
83109,2015-08-30
83109,2015-08-29
83109,2015-08-29
83109,2015-08-27
83109,2015-08-30
83109,2015-08-30
83109,2015-08-30
83109,2015-08-28
83109,2015-08-26
83109,2015-08-25
83109,2015-09-26
83109,2015-09-18
83109,2015-09-11
83109,2015-09-06
83109,2015-09-02
83109,2015-09-02
83109,2015-09-01
83109,2015-09-01
69882,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-09-01
83109,2015-08-31
83109,2015-08-31
83109,2015-08-31
83109,2015-08-31
83109,2015-08-31
83109,2015-08-31
83109,2015-08-31
83109,2015-08-31
83109,2015-08-31
83109,2015-08-30
83109,2015-08-30
83109,2015-08-30
83109,2015-08-29
83109,2015-08-29
83109,2015-08-29
83109,2015-08-29
83109,2015-08-28
83109,2015-08-28
83109,2015-08-27
83109,2015-08-27
83109,2015-08-27
46984,2015-08-27
83109,2015-08-27
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-26
83109,2015-08-25
51467,2015-07-24
83109,2015-08-25
83109,2015-08-25
83109,2015-08-25
83109,2015-08-25
83109,2015-08-27
81056,2016-04-21
45520,2015-12-19
49419,2015-12-19
50728,2015-12-29
50426,2015-12-29
62,2016-03-09
25641,2016-02-25
78589,2015-10-04
78589,2015-10-03
48827,2015-12-24
47761,2016-04-06
47761,2015-10-31
47063,2016-04-21
47063,2016-04-15
83112,2016-03-07
83112,2016-02-13
83112,2016-01-05
83112,2015-12-19
69882,2015-08-11
83112,2016-01-04
68514,2016-02-25
45518,2016-03-08
45518,2016-03-03
45518,2016-01-14
69226,2015-10-16
46926,2015-11-22
50911,2015-12-03
50856,2015-12-03
50829,2015-12-03
108,2015-12-04
80895,2016-01-10
51759,2016-03-04
69880,2015-10-23
78566,2015-12-31
78566,2015-12-26
78566,2015-12-19
78566,2015-11-24
78566,2015-07-30
45342,2015-08-03
45342,2015-07-17
34575,2016-03-20
34575,2015-09-30
34575,2015-09-17
70219,2016-05-02
69858,2016-06-30
69858,2016-06-29
69858,2016-06-28
69538,2015-11-24
69232,2016-01-24
69232,2015-12-23
69232,2015-12-22
69232,2015-12-16
80768,2016-04-29
80768,2016-01-14
80768,2015-11-30
80768,2015-11-29
80768,2015-12-27
80768,2015-12-20
80768,2015-11-16
80768,2015-12-19
80768,2015-11-30
80768,2015-11-27
80768,2015-11-26
80768,2015-11-25
80768,2015-11-25
80768,2015-11-24
70219,2015-10-25
80768,2015-11-20
50570,2016-04-17
45517,2016-02-10
45517,2015-12-21
51484,2016-03-22
69218,2016-06-24
81876,2016-05-10
81876,2016-04-02
81876,2016-01-01
50477,2016-01-01
81876,2015-12-26
51174,2015-12-26
81876,2015-08-19
81876,2015-08-16
63,2015-07-16
379,2015-07-16
407,2015-07-16
3370,2015-07-16
98,2015-07-16
6287,2015-07-16
194,2015-07-16
81876,2015-08-16
28664,2015-08-18
50584,2016-01-11
81876,2015-08-13
81876,2015-08-13
81876,2015-08-04
108,2015-11-11
14128,2015-11-24
51339,2016-01-26
45337,2016-01-26
51482,2016-01-26
34816,2016-01-26
46996,2016-04-08
51488,2016-04-08
46996,2016-04-08
51488,2016-04-08
46996,2016-04-08
51488,2016-04-08
46996,2016-05-04
46996,2015-11-11
46996,2015-11-07
46996,2015-11-07
48089,2016-04-10
48089,2016-03-01
36407,2015-10-17
26,2015-10-17
19349,2015-10-17
29858,2015-10-17
78606,2015-12-16
78606,2015-12-10
78606,2015-12-08
78606,2015-09-29
82175,2016-06-14
36320,2015-07-19
36320,2015-07-18
36320,2015-07-17
36320,2015-07-17
36320,2015-07-17
36320,2015-07-17
36320,2015-07-16
36320,2015-07-15
50878,2015-12-25
50635,2016-03-24
51366,2016-01-10
70219,2016-06-30
70219,2016-06-29
70219,2016-06-28
70219,2016-06-27
70219,2016-06-27
70219,2016-06-25
70219,2016-06-23
70219,2016-06-22
70219,2016-06-21
70219,2016-06-20
70219,2016-06-14
70219,2016-06-14
70219,2016-06-09
70219,2016-06-08
70219,2016-06-06
70219,2016-06-05
70219,2016-05-24
70219,2016-05-21
70219,2016-05-19
70219,2016-05-19
70219,2016-05-13
70219,2016-05-03
70219,2016-04-28
70219,2016-04-16
70219,2016-04-12
70219,2016-04-11
70219,2016-03-30
70219,2016-03-22
70219,2016-03-10
70219,2016-03-06
83015,2016-03-09
70219,2016-02-09
70219,2016-01-29
70219,2016-01-26
50855,2016-01-27
70219,2016-01-13
70219,2016-01-06
70219,2016-01-04
70219,2016-01-04
70219,2015-12-17
70219,2015-12-10
70219,2015-12-08
70219,2015-12-03
34835,2015-11-06
70219,2015-11-23
70219,2015-11-12
70219,2015-11-05
70219,2015-11-01
70219,2015-11-01
70219,2015-10-28
70219,2015-10-26
70219,2015-10-26
70219,2015-10-25
70219,2015-10-25
70219,2015-10-25
70219,2015-10-25
70219,2015-10-25
70219,2015-10-25
70219,2015-10-25
70219,2015-10-25
70219,2015-10-24
70219,2015-10-24
70219,2015-10-24
70219,2015-10-24
70219,2015-10-24
70219,2015-10-23
70219,2015-10-23
70219,2015-10-23
70219,2015-10-23
70219,2015-10-23
70219,2015-10-23
70219,2015-10-23
70219,2015-10-23
70219,2015-10-22
70219,2015-10-22
70219,2015-10-22
70219,2015-10-22
70219,2015-10-22
70219,2015-10-21
70219,2015-10-21
70219,2015-10-21
70219,2015-10-21
70219,2015-10-21
70219,2015-10-21
70219,2015-10-20
34453,2016-02-19
16429,2015-11-01
69195,2016-02-16
104,2015-07-15
83108,2015-12-15
83108,2016-06-28
83108,2016-05-16
83108,2016-04-14
83108,2016-03-11
83108,2016-03-01
83108,2016-01-14
83108,2015-12-30
83108,2015-12-22
83108,2015-12-21
83108,2015-12-16
83108,2015-12-16
83108,2015-12-15
83108,2015-12-15
81719,2015-11-26
81719,2016-06-02
81719,2016-03-13
81719,2015-11-28
81719,2015-11-27
81719,2015-11-26
81719,2015-11-26
47006,2016-01-11
47006,2016-03-29
47006,2016-03-28
47006,2016-03-22
47006,2016-03-19
47006,2016-03-16
47006,2016-03-01
47006,2016-03-01
45321,2016-04-10
45321,2015-12-16
45321,2015-12-10
45337,2016-03-28
45337,2016-03-28
45337,2016-03-13
45337,2015-10-13
45479,2015-08-16
80961,2016-06-18
80961,2016-06-13
80961,2016-06-13
80961,2016-06-12
80961,2016-06-09
45470,2015-09-06
48093,2016-01-20
48093,2015-11-02
66273,2016-05-08
83014,2016-03-16
29193,2016-02-04
51488,2015-10-28
47061,2016-04-06
89710,2016-04-07
68512,2016-04-16
68081,2016-06-03
84021,2016-06-03
82101,2016-06-12
69550,2016-01-11
69550,2016-01-20
69550,2016-01-19
69550,2016-01-17
69550,2016-01-12
69550,2016-01-11
69550,2016-01-11
69550,2016-01-11
69550,2016-01-11
69550,2016-01-11
69550,2016-01-10
69550,2016-01-08
69550,2016-01-05
69550,2016-01-05
69550,2016-01-01
69550,2015-12-30
69550,2015-12-21
69550,2015-11-02
47062,2016-04-15
69240,2015-12-25
78569,2015-08-18
78569,2015-08-13
69212,2015-09-27
69212,2015-10-03
69212,2015-09-28
69212,2015-09-27
49420,2016-01-23
82886,2016-04-09
82886,2016-02-21
46924,2015-08-25
46995,2016-06-14
34835,2016-03-18
34830,2015-11-28
86,2015-08-09
83015,2016-06-26
83015,2016-06-24
83015,2016-06-17
83015,2016-06-17
83015,2016-06-15
83015,2016-06-14
83015,2016-06-03
83015,2016-06-02
83015,2016-05-30
83015,2016-05-29
83015,2016-05-25
83015,2016-05-15
83015,2016-05-11
83015,2016-05-05
83015,2016-05-04
83015,2016-05-03
83015,2016-04-24
83015,2016-04-16
83015,2016-04-11
83015,2016-04-06
83015,2016-04-04
83015,2016-04-03
83015,2016-03-28
83015,2016-03-26
83015,2016-03-26
83015,2016-03-17
83015,2016-03-13
83015,2016-02-22
83015,2016-02-16
83015,2016-02-16
83015,2016-02-15
83015,2016-02-15
83015,2016-02-14
83015,2016-02-13
83015,2016-02-12
83015,2016-02-10
83015,2016-02-09
83015,2016-02-09
83015,2016-02-08
83015,2016-02-07
83015,2016-02-06
83015,2016-02-06
83015,2016-02-05
83015,2016-02-04
83015,2016-02-03
83015,2016-02-02
28798,2015-09-03
45512,2015-12-06
45519,2016-02-22
75654,2015-08-11
48092,2016-01-08
48821,2015-12-21
48821,2015-12-11
48821,2015-12-03
48821,2015-11-28
48821,2015-11-19
48821,2015-11-19
48821,2015-11-18
48821,2015-11-17
48821,2015-11-17
48821,2015-11-17
48821,2015-11-17
48821,2015-11-17
47062,2016-04-22
47062,2016-04-25
47062,2016-04-24
45189,2016-01-08
45189,2015-11-29
86,2015-09-29
90813,2016-05-30
90813,2016-05-29
90813,2016-05-21
90813,2016-05-20
90813,2016-05-08
47052,2016-01-31
47052,2015-09-21
45473,2016-03-28
45473,2016-03-15
45473,2016-03-01
45473,2016-02-29
45473,2016-02-27
45473,2016-02-22
45473,2016-02-16
80611,2016-02-16
45473,2015-09-24
45473,2015-08-17
45473,2015-07-30
45473,2015-07-27
47119,2015-11-04
47119,2015-10-27
47119,2015-10-22
47119,2015-10-09
47118,2015-10-09
69531,2016-06-08
69531,2016-02-10
47061,2016-04-19
47061,2016-04-10
69545,2015-07-01
69937,2015-12-14
45464,2016-02-14
81720,2015-12-14
81720,2015-09-11
132,2015-09-11
27202,2015-08-15
70232,2016-03-14
45476,2016-05-28
83120,2015-07-26
83120,2015-07-26
83120,2015-07-26
83120,2015-07-22
83120,2015-07-13
83120,2015-07-13
45492,2015-12-21
45492,2015-12-07
45492,2015-10-26
68512,2016-04-08
80844,2015-10-19
83116,2016-04-05
69878,2016-04-13
69878,2016-04-05
69878,2016-04-07
69878,2016-04-06
69878,2016-04-05
69878,2016-04-04
69878,2015-10-11
69878,2015-10-08
69878,2015-10-04
27409,2016-02-01
36403,2016-04-16
36403,2015-11-25
26582,2015-11-25
121,2015-11-25
69896,2015-12-09
69519,2016-03-04
47050,2015-08-23
81721,2016-01-01
81721,2015-12-23
453,2015-11-27
20043,2016-05-03
47680,2015-09-11
47680,2015-09-08
47680,2015-09-17
47680,2015-09-14
47680,2015-09-10
48069,2016-01-07
46994,2015-08-24
46994,2015-08-10
69868,2016-04-04
69868,2016-03-12
69868,2016-02-05
69868,2015-12-19
69868,2016-06-08
69201,2016-03-09
69201,2016-03-08
69549,2015-10-28
69549,2015-09-13
69549,2015-09-01
69549,2015-09-01
69549,2015-08-30
69549,2015-08-28
69549,2015-08-26
69549,2015-09-01
69549,2015-09-14
26688,2016-01-17
83882,2015-10-02
14123,2015-10-06
46984,2016-02-29
88693,2015-11-08
26686,2016-01-12
26686,2015-12-24
69899,2016-03-15
51172,2016-02-08
51172,2016-02-05
34584,2016-01-17
50731,2016-01-17
34658,2016-02-06
82896,2016-01-01
83277,2016-01-10
47118,2015-10-03
45497,2015-09-19
45497,2015-09-17
48095,2015-12-26
48095,2015-09-28
68516,2016-01-17
68516,2015-12-29
68516,2015-12-10
41146,2016-05-22
46926,2016-04-09
46926,2015-12-17
48809,2015-12-03
47767,2015-11-26
35719,2016-01-01
35719,2015-11-01
45491,2016-02-15
45491,2016-03-07
45491,2016-01-16
50568,2016-02-21
68514,2016-03-26
68512,2016-03-26
68512,2016-04-12
40031,2015-12-24
86,2016-06-26
86,2016-05-04
86,2016-03-26
86,2016-03-26
86,2016-03-26
86,2016-03-22
86,2016-03-21
86,2016-03-21
86,2016-03-21
86,2016-03-21
86,2016-03-21
86,2016-03-21
86,2016-03-20
86,2016-03-20
86,2016-03-20
86,2016-01-12
86,2015-12-30
86,2015-12-29
86,2015-12-27
86,2015-12-27
86,2015-12-27
86,2015-12-26
86,2015-12-25
86,2015-12-22
86,2015-12-22
86,2015-12-21
86,2015-12-21
86,2015-12-20
86,2015-11-16
86,2015-11-16
86,2015-11-16
86,2015-11-14
86,2015-11-14
86,2015-11-14
86,2015-11-13
86,2015-11-12
86,2015-11-11
86,2015-11-11
86,2015-11-10
86,2015-11-25
86,2015-11-10
86,2015-11-09
86,2015-11-09
86,2015-11-09
86,2015-11-09
86,2015-11-09
86,2015-11-09
86,2015-11-08
86,2015-10-26
86,2015-10-10
86,2015-10-08
86,2015-10-05
86,2015-10-03
86,2015-10-03
86,2015-10-02
86,2015-10-01
86,2015-10-01
86,2015-09-30
86,2015-09-30
86,2015-09-29
86,2015-09-29
86,2015-09-29
86,2015-09-28
86,2015-09-28
86,2015-09-28
86,2015-09-28
86,2015-09-30
86,2015-09-28
86,2015-09-27
86,2015-09-27
86,2015-09-27
86,2015-09-27
86,2015-09-27
86,2015-09-27
86,2015-08-22
86,2015-08-19
86,2015-08-19
86,2015-08-17
86,2015-08-16
86,2015-08-15
86,2015-08-15
86,2015-08-14
86,2015-08-14
86,2015-08-14
86,2015-08-13
86,2015-08-13
86,2015-08-13
86,2015-08-13
86,2015-08-12
86,2015-08-12
86,2015-08-12
86,2015-08-11
86,2015-08-11
86,2015-08-11
86,2015-08-11
86,2015-08-11
42456,2016-02-23
42455,2016-02-23
86,2015-08-11
86,2015-08-11
86,2015-08-11
86,2015-08-11
86,2015-08-11
86,2015-08-11
86,2015-08-11
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-10
86,2015-08-09
86,2015-08-09
86,2015-08-09
86,2015-08-09
42452,2015-08-09
42453,2015-08-09
86,2015-08-09
86,2015-08-09
86,2015-08-09
26,2016-05-16
35413,2015-07-21
29858,2015-07-21
67376,2015-07-22
67376,2016-05-28
67376,2016-05-18
67376,2016-02-12
67376,2016-01-31
67376,2015-12-23
67376,2016-01-05
51403,2016-04-21
51444,2016-05-25
12,2016-05-05
1177,2016-05-05
239,2016-05-05
24,2016-05-05
12,2016-05-25
50038,2016-05-25
45393,2015-09-13
12,2016-02-06
12,2016-01-06
12,2016-01-01
25392,2016-01-01
50901,2016-01-01
12,2015-11-17
12,2015-10-26
12,2015-10-04
12,2015-09-04
12,2015-09-02
26,2015-11-07
26,2015-08-31
26,2015-09-11
50780,2016-02-20
50780,2016-02-21
50780,2016-02-21
50780,2016-02-20
50780,2016-02-15
50780,2016-02-13
50780,2016-01-04
50780,2015-12-27
50780,2015-12-25
50780,2015-12-22
50780,2015-12-04
50780,2015-12-02
50780,2015-12-01
50780,2015-11-30
50780,2015-11-30
50780,2015-11-29
50780,2015-11-26
50780,2015-11-26
50780,2015-11-25
50780,2015-11-20
50780,2015-11-19
50780,2015-11-17
50780,2015-11-16
50780,2015-11-16
50780,2015-10-13
50780,2015-09-21
50780,2015-09-28
50780,2015-09-27
50780,2015-09-26
50780,2015-09-24
50780,2015-09-21
50780,2015-09-21
50780,2015-09-21
50780,2015-09-20
50780,2015-09-20
50780,2015-09-20
50780,2015-09-20
50780,2015-09-19
50780,2015-09-16
50780,2015-09-15
50780,2015-09-14
50780,2015-09-14
50780,2015-09-14
50780,2015-09-14
50780,2015-09-14
50780,2015-09-14
50780,2015-09-14
50780,2015-09-14
50780,2015-09-13
50780,2015-09-13
108,2015-08-17
12695,2016-02-21
51426,2016-02-21
30,2015-12-05
50404,2015-12-09
196,2015-08-15
44021,2015-08-15
45403,2015-08-15
1199,2015-08-15
3356,2015-12-18
50911,2016-01-12
163,2016-01-11
44776,2016-05-23
51474,2016-05-23
42452,2016-05-23
51419,2016-05-23
51423,2016-05-23
51481,2016-05-23
42453,2016-05-23
51467,2016-05-23
51446,2016-05-23
12661,2015-07-28
434,2015-07-28
379,2016-01-01
50791,2016-05-09
17410,2016-01-31
391,2015-08-21
12656,2015-12-06
12645,2015-07-08
12645,2015-07-25
50635,2016-05-18
50878,2016-05-18
50020,2016-05-18
50635,2016-01-03
50635,2015-12-23
51413,2016-04-02
51415,2016-04-02
51477,2016-04-02
51444,2016-04-02
51403,2016-04-02
51426,2016-04-02
51467,2016-04-02
50864,2016-01-14
50878,2015-12-26
50556,2016-01-04
62,2016-02-22
62,2016-03-27
62,2016-03-22
122,2015-10-01
17356,2016-02-21
76,2015-10-16
42456,2015-08-09
42457,2015-08-09
50824,2016-03-13
50672,2015-07-21
50800,2016-01-01
68140,2016-05-18
67477,2016-04-22
12681,2015-07-20
51467,2015-07-20
28665,2015-10-23
20,2015-09-29
61,2015-12-23
239,2016-06-29
50777,2016-06-25
25295,2015-10-16
136,2015-07-23
50397,2016-03-04
3460,2015-09-25
51723,2016-05-16
50792,2016-03-28
384,2016-01-12
19271,2015-09-13
28664,2015-10-19
50571,2015-12-15
50020,2016-04-28
50579,2016-04-28
50404,2016-04-28
50796,2015-12-28
51467,2016-03-18
51467,2015-12-27
51467,2015-11-24
51446,2016-04-12
51446,2015-12-05
51446,2015-09-25
50404,2015-12-04
32026,2015-10-16
50882,2015-12-30
28802,2016-01-25
